TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:01.6;241553;10479;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Empate;NO;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_PAR_SR;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:12.0;252032;10802;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Empate;Toca_D;NoPrep;PRES_D;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:25.9;265879;4197;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Pierde_I;NO;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_SR;;;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30.1;270076;6769;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Pierde_I;Doble;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:39.0;279040;6348;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Pierde_I;Toca_I;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:51.7;291693;6322;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Empate;Doble;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:03.4;303411;2568;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Empate;NO;NoPrep;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_DEF_D;3_DIST_SR;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:06.0;305979;1367;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Empate;NO;Prep_I;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_DEF_D;3_DIST_SR;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:07.3;307346;7243;ESP;FEM;ZD;2FRA;PRORR_NC;CENT;Empate;Toca_I;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_DEF_D;2_PAR_R;;;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:20.3;320251;1737;ESP;FEM;ZD;2FRA;PRORR_NC;3M_I;Gana_I;NO;Prep_I;PRES_D;1_DEF_D;1_PAR_R;2_DEF_I;2_DIST_SR;;;;;;;49;S1;S5;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
