TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:35.7;35681;12725;ESP;FEM;ZZ;2ANA;1PER;CENT;Empate;NO;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_DIST_SR;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:48.4;48406;5966;ESP;FEM;ZZ;2ANA;1PER;CENT;Empate;Toca_D;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:23.4;83431;14880;ESP;FEM;ZZ;2ANA;1PER;3M_D;Pierde_I;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:38.3;98311;6699;ESP;FEM;ZZ;2ANA;1PER;3M_D;Pierde_I;NO;Prep_I;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:45.0;105010;4657;ESP;FEM;ZZ;2ANA;1PER;3M_D;Pierde_I;NO;Prep_D;PRES_I;1_DEF_I;1_PAR_R;2_DEF_D;2_PAR_R;3_DEF_I;3_DIST_SR;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:49.7;109667;4413;ESP;FEM;ZZ;2ANA;1PER;3M_D;Pierde_I;NO;Prep_D;PRES_I;1_DEF_I;1_PAR_R;2_COF_D;2_SIM_SH;3_DEF_I;3_PAR_SR;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:54.1;114080;16465;ESP;FEM;ZZ;2ANA;1PER;2M_D;Pierde_I;Toca_I;Prep_I;PRES_I;1_OF_I;1_SIM_H;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:40.7;160744;9257;ESP;FEM;ZZ;2ANA;1PER;CENT;Empate;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:50.0;170001;8017;ESP;FEM;ZZ;2ANA;1PER;CENT;Empate;Toca_I;Prep_D;PRES_I;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:15.1;195089;4553;ESP;FEM;ZZ;2ANA;1PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_PAR_SR;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:19.6;199642;4176;ESP;FEM;ZZ;2ANA;1PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:23.8;203818;10333;ESP;FEM;ZZ;2ANA;1PER;3M_I;Gana_I;Toca_I;NoPrep;PRES_D;1_OF_I;1_SIM_SH;2_OF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:49.0;228972;8152;ESP;FEM;ZZ;2ANA;1PER;3M_I;Gana_I;NO;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:57.1;237124;7588;ESP;FEM;ZZ;2ANA;1PER;2M_I;Gana_I;Toca_I;Prep_D;PRES_D;1_DEF_I;1_PAR_R;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:28.7;328667;5631;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
